Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path,DatasetName
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,30,50,1,29,0.964854,29.0952,5.55123,0 6 4 13 20 7 11 2 8 12 16 24 26 17 21 19 10 5 3 1 9 22 14 27 15 23 18 25 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,35,0.982344,39.675,5.661e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987438,39.9396,4.49288,0 6 1 3 2 7 13 23 4 14 27 34 15 31 33 30 18 20 25 19 21 32 26 24 17 16 35 28 12 10 11 5 8 9 22 29 36 44 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987984,39.5629,0.961646,0 1 3 2 5 11 25 30 33 20 18 7 13 4 6 14 15 23 31 34 27 36 29 22 9 12 8 10 19 21 17 16 28 35 24 26 32 37 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987984,39.9307,0.00314712,0 1 30 18 33 20 31 23 34 27 15 14 36 29 6 13 4 3 7 5 2 22 9 12 24 35 28 16 8 10 25 11 19 21 17 32 26 37 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987984,39.9307,0.0057298,0 1 30 18 33 20 31 23 34 27 15 14 36 29 6 13 4 3 7 5 2 22 9 12 24 35 28 16 8 10 25 11 19 21 17 32 26 37 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,40,50,1,39,0.987984,39.6268,5.27584,0 6 4 13 7 3 5 11 19 21 17 32 26 37 24 35 28 12 16 8 10 2 9 1 22 29 36 14 15 27 34 23 31 20 33 30 18 25 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,42,0.991261,49.0028,6.114e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,48.8865,7.28581,0 12 16 39 28 35 24 40 37 42 26 32 41 11 8 2 3 4 6 36 14 15 34 23 13 7 5 1 22 9 29 44 27 18 20 43 31 33 30 45 25 38 19 10 21 17 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,48.6041,3.38634,0 1 40 37 42 32 26 24 35 28 39 22 6 3 7 11 19 38 41 21 17 16 12 9 2 8 10 5 18 45 25 30 33 43 31 34 15 23 20 13 4 14 27 44 36 29 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,49.6786,0.00457183,0 1 18 30 33 20 31 23 34 27 15 14 36 29 6 13 4 3 7 25 11 5 2 22 9 39 12 8 32 21 41 38 19 10 17 37 40 35 24 26 16 28 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,49.4385,0.00526556,0 1 42 26 16 12 39 28 35 24 40 37 32 21 41 19 38 25 30 33 18 11 10 17 8 5 7 20 31 23 13 4 3 2 9 22 29 6 34 27 15 14 36 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,50,50,1,47,0.995073,49.2901,4.46996,0 22 29 6 42 32 21 41 8 12 9 26 37 16 40 24 35 28 39 2 5 11 13 36 14 44 27 15 23 34 4 1 3 7 20 31 43 33 30 18 45 25 38 19 10 17 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,55.6241,1.2911e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,50.1164,5.70532,0 44 14 6 3 12 28 35 16 21 32 42 24 37 17 2 36 7 11 8 19 10 40 26 41 38 5 39 9 22 1 29 27 15 31 33 43 23 4 34 13 18 20 30 25 45 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,48.2384,2.92878,0 1 39 28 35 40 37 42 32 41 21 26 24 17 16 12 8 3 4 6 14 15 34 27 44 36 29 22 9 2 5 10 19 11 7 18 20 13 23 31 43 33 30 25 45 38 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,52.5677,0.00403153,0 1 27 15 23 18 7 20 13 4 14 29 22 6 3 5 26 16 28 24 17 21 19 25 11 10 8 12 2 9 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,55.1397,0.00613798,0 1 6 13 4 7 11 5 3 2 10 8 9 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,60,50,1,47,0.995073,49.3891,5.06248,0 3 4 13 7 11 31 44 36 6 39 12 2 41 32 42 37 24 40 35 16 26 21 17 28 8 19 10 5 9 22 29 1 20 18 30 45 38 25 33 43 23 34 27 15 14 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,55.6241,1.2129e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,49.3245,7.69159,0 3 2 12 35 37 42 32 21 38 20 18 11 7 4 6 14 15 31 23 34 27 44 29 36 9 22 1 17 19 41 26 24 40 28 39 16 8 10 5 13 43 33 45 30 25 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,48.6794,1.23754,0 1 39 12 40 37 42 26 24 35 28 16 17 32 21 41 19 3 13 7 6 14 15 4 23 31 43 33 30 45 25 18 20 34 27 44 36 29 22 9 2 5 8 10 11 38 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,52.5677,0.0039464,0 1 27 15 23 18 7 20 13 4 14 29 22 6 3 5 26 16 28 24 17 21 19 25 11 10 8 12 2 9 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,55.1397,0.00609858,0 1 6 13 4 7 11 5 3 2 10 8 9 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,70,50,1,47,0.995073,49.4003,5.45019,0 17 16 28 40 35 24 26 37 42 32 41 21 19 11 13 7 3 2 36 6 39 12 8 29 1 9 22 4 5 10 18 45 38 25 30 43 33 20 31 23 14 15 27 44 34 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,55.6241,5.593e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,49.7603,6.90416,0 14 44 36 13 20 7 11 12 16 37 35 39 2 6 3 8 28 24 40 42 21 32 17 26 41 38 25 19 10 45 30 33 43 31 18 5 9 29 1 4 22 15 23 34 27 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,48.2731,2.78836,0 1 39 12 28 35 40 37 42 24 26 32 41 38 11 7 3 4 6 14 36 29 22 9 2 5 10 8 16 17 21 19 25 45 30 18 33 43 20 31 13 23 15 34 27 44 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,52.5677,0.0143008,0 1 27 15 23 18 7 20 13 4 14 29 22 6 3 5 26 16 28 24 17 21 19 25 11 10 8 12 2 9 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,55.1397,0.00559407,0 1 6 13 4 7 11 5 3 2 10 8 9 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,80,50,1,47,0.995073,49.8028,9.6873,0 11 7 20 28 24 26 17 21 42 37 35 12 2 1 6 36 29 3 10 19 38 25 45 33 31 43 18 13 4 22 9 39 8 16 40 32 41 5 30 23 34 15 27 44 14 45,filtered_GW200202_154313_7dt_separate.csv
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,55.6241,1.0415e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,49.1757,5.48843,0 12 8 16 28 39 35 40 37 26 32 42 41 21 18 11 7 33 20 13 4 14 44 36 6 2 22 9 1 29 15 27 34 23 31 43 30 3 5 10 17 24 19 38 25 45 45,filtered_GW200202_154313_7dt_separate.csv
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,49.0365,1.45177,0 1 36 14 6 4 23 31 20 38 26 37 40 35 17 39 28 24 42 32 41 21 16 12 3 13 15 34 27 44 29 22 9 2 8 5 7 18 25 11 10 19 45 30 33 43 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,52.5677,0.00427576,0 1 27 15 23 18 7 20 13 4 14 29 22 6 3 5 26 16 28 24 17 21 19 25 11 10 8 12 2 9 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,55.1397,0.0059584,0 1 6 13 4 7 11 5 3 2 10 8 9 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 45,filtered_GW200202_154313_7dt_separate.csv
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200202_154313_7dt_separate.csv,90,50,1,47,0.995073,50.09,5.91913,0 18 11 38 41 21 42 26 16 8 35 24 37 32 17 20 33 13 3 36 14 6 31 7 12 2 5 9 39 28 40 10 19 45 30 25 43 4 23 15 27 34 44 1 22 29 45,filtered_GW200202_154313_7dt_separate.csv
