Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200322_091133_7dt_separate.csv,10,50,1,9,0.00354361,9.0776,7.9059e-05,0 1 2 3 4 5 6 7 3930
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200322_091133_7dt_separate.csv,10,50,1,11,0.00454738,9.89764,0.092665,0 1 7 3 5 9 4 8 2 6 3930
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200322_091133_7dt_separate.csv,10,50,1,11,0.00454738,9.89764,578.582,0 1 7 3 5 9 4 8 2 6 3930
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200322_091133_7dt_separate.csv,200,50,1,139,0.0661376,199.549,4.9268e-05,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 3930
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/large/filtered_GW200322_091133_7dt_separate.csv,200,50,1,183,0.086388,199.142,0.257602,0 1 173 103 140 127 111 138 128 126 117 65 47 123 58 141 163 137 166 144 172 179 148 85 178 122 120 157 152 24 91 143 53 17 97 119 52 86 93 59 45 56 72 80 147 133 106 156 167 145 131 104 54 36 118 142 164 181 155 139 124 94 75 180 151 113 88 154 174 153 61 87 116 168 69 46 66 22 109 10 41 29 5 3 16 23 25 99 158 96 108 84 129 112 107 40 42 28 64 38 95 21 7 33 18 60 20 44 32 48 39 150 149 55 51 121 175 92 26 14 83 6 31 8 27 74 78 105 67 136 171 177 161 125 130 90 82 49 30 73 63 57 100 101 169 115 114 102 89 50 35 2 11 77 98 134 160 162 159 76 176 146 81 71 68 62 79 43 4 9 19 12 15 37 13 34 135 132 70 110 170 165 3930
