Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,50,50,1,48,0.659511,49.6732,3.00395,0 1 10 2 5 9 16 30 35 23 33 15 43 19 13 11 12 7 3 28 46 29 38 6 4 27 17 34 36 8 31 14 51 24 37 21 18 20 32 26 22 25 52 42 80 39 45 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,50,50,1,47,0.662779,49.2212,0.00522781,0 1 44 35 30 23 15 43 33 9 16 41 5 2 19 13 10 28 3 11 12 27 4 7 29 38 6 17 31 21 37 18 20 32 40 26 22 25 42 39 24 14 36 8 34 45 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,50,50,1,48,0.670667,49.7347,2.73073,0 1 10 28 46 29 38 6 8 34 14 36 24 37 18 20 32 40 26 22 25 42 21 39 45 31 17 27 4 12 7 3 11 13 19 2 15 43 33 9 5 41 16 23 30 44 35 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,60,50,1,45,0.645958,59.6499,6.889e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,60,50,1,55,0.715579,59.222,4.13453,0 7 46 5 16 9 41 30 35 44 50 33 48 23 15 2 28 10 1 3 4 6 38 29 27 17 8 34 36 37 18 45 42 53 52 47 40 32 26 20 22 25 39 31 14 24 21 51 49 12 11 13 43 19 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,60,50,1,57,0.715887,59.3527,5.69396,0 1 13 3 11 58 49 12 4 27 17 8 14 31 87 45 39 42 25 18 20 22 26 40 32 60 56 37 21 24 36 34 6 38 29 7 46 28 83 10 55 41 5 2 19 43 15 59 33 9 16 23 50 35 44 30 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,60,50,1,57,0.726715,59.9623,0.00668171,0 1 48 44 35 50 33 23 30 16 41 5 9 15 43 19 2 10 28 46 7 3 13 54 11 12 49 27 4 29 38 6 17 34 8 31 14 36 51 37 24 45 39 42 21 18 20 32 40 47 26 22 25 52 53 56 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,60,50,1,57,0.72681,59.838,29.8109,0 1 10 41 55 5 33 9 23 50 35 48 44 30 16 15 43 2 19 13 54 11 49 12 4 29 46 28 3 7 38 17 27 6 34 8 31 36 14 45 39 24 51 37 21 18 20 32 40 47 26 22 53 52 25 42 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,70,50,1,51,0.690469,69.7298,7.54e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191230_180458_7dt_separate.csv,70,50,1,65,0.766085,69.9907,4.80581,0 57 54 58 49 46 38 17 27 29 24 36 34 14 39 21 18 32 26 22 20 25 42 52 53 47 40 60 56 51 37 45 31 8 6 4 7 3 1 2 5 55 28 12 11 13 43 19 50 59 33 15 9 10 41 30 16 23 35 44 48 61 63 82 100
