Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.835458,49.7011,1.67599,0 1 64 39 29 41 38 65 33 42 22 26 16 31 18 19 27 23 17 10 44 8 7 32 25 4 12 11 3 14 24 9 5 2 37 21 35 6 13 28 30 15 43 20 36 34 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.84086,49.8797,0.00454327,0 1 40 34 36 20 43 30 15 13 28 21 6 35 2 37 5 9 24 14 3 11 12 25 4 7 32 44 8 10 23 17 19 27 31 18 16 26 39 22 42 29 33 41 38 45 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,48,0.84461,49.9764,6.73363,0 1 5 2 35 6 13 15 20 48 34 40 36 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,42,0.817993,59.3765,4.037e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,55,0.867981,59.6208,4.13729,0 24 1 37 6 35 5 49 9 12 14 3 11 10 44 45 17 19 23 27 18 16 33 42 41 38 29 39 26 22 31 53 51 8 7 4 32 25 2 13 21 28 30 43 36 34 20 15 48 47 46 40 50 55 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.867402,58.9892,3.11789,0 1 3 11 4 7 8 10 17 19 18 64 16 26 39 22 29 41 38 65 33 42 54 61 31 27 23 45 44 32 25 12 14 24 9 5 35 2 37 21 6 13 28 30 15 43 20 48 36 34 40 47 46 55 50 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,56,0.871067,59.6052,0.00829097,0 1 18 39 22 29 41 38 52 33 42 54 26 16 31 27 19 17 23 53 10 45 44 32 8 51 7 4 25 12 11 3 14 24 49 5 9 37 2 35 6 21 28 13 15 30 43 20 48 34 36 40 47 46 50 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,60,50,1,57,0.873654,59.9859,4.9543,0 1 49 5 2 35 6 13 56 15 48 34 47 55 50 46 40 36 20 43 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 51 53 10 45 23 17 19 27 31 18 16 26 39 22 29 42 33 41 38 52 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,48,0.84461,69.956,3.804e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 48 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,70,50,1,63,0.887934,69.935,4.03951,0 1 9 37 56 13 15 20 48 46 47 34 40 59 57 50 55 36 43 6 21 28 30 58 2 3 35 5 24 14 11 49 60 12 53 17 10 16 26 29 38 33 52 42 41 39 19 18 31 27 54 22 23 45 44 8 4 25 7 51 32 61 100
