Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,38,0.73275,39.7586,0.00549036,0 1 74 70 65 47 15 49 43 33 56 11 19 16 67 7 5 14 37 9 27 12 24 6 4 2 10 3 8 42 13 17 63 40 20 69 73 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,40,50,1,38,0.73275,39.4569,4.89464,0 1 42 8 3 10 2 4 15 49 43 65 70 74 47 33 56 11 19 67 16 7 5 14 37 9 27 6 24 12 13 17 63 40 20 69 73 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,41,0.737195,49.9975,4.08e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,46,0.743815,49.2752,4.41227,0 6 8 42 20 13 3 67 10 7 1 24 2 16 49 43 5 11 19 4 81 17 63 40 73 69 82 12 27 9 37 14 15 33 56 83 47 65 78 84 74 70 75 80 85 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,48,0.745814,49.8646,1.53007,0 1 2 4 7 5 9 6 12 24 27 37 14 15 11 19 16 10 3 8 13 20 42 82 69 40 63 17 81 67 89 56 33 49 43 65 78 47 83 86 88 74 75 84 70 80 85 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,47,0.745047,49.5942,0.0152122,0 1 74 84 70 80 85 75 86 78 65 83 47 43 49 37 14 15 33 56 11 19 16 67 81 17 10 2 4 7 5 9 27 6 24 12 82 20 42 8 3 13 63 40 69 73 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,47,0.745047,49.5942,0.00586764,0 1 74 84 70 80 85 75 86 78 65 83 47 43 49 37 14 15 33 56 11 19 16 67 81 17 10 2 4 7 5 9 27 6 24 12 82 20 42 8 3 13 63 40 69 73 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,50,50,1,47,0.745047,49.7128,4.37284,0 1 15 47 83 74 84 70 85 80 75 86 78 65 43 49 37 9 5 7 16 67 81 17 10 2 4 24 6 27 14 33 56 11 19 3 12 8 42 82 20 13 63 40 69 73 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,48,0.746212,59.7535,3.453e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 88 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,55,0.754177,59.1688,4.18906,0 42 63 8 67 17 3 24 6 1 10 2 16 89 19 15 33 43 47 49 5 7 12 82 73 92 93 69 40 20 13 81 4 9 27 37 14 11 56 91 83 65 78 86 88 74 75 84 70 80 87 85 94 95 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,56,0.755246,59.1507,1.31679,0 1 67 16 89 19 56 91 83 78 86 75 95 85 87 94 80 70 84 74 88 65 47 33 43 49 15 14 5 11 7 4 2 3 10 81 17 63 40 69 97 73 92 93 82 42 20 13 8 12 24 6 27 9 37 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,56,0.755246,59.232,0.0159753,0 1 74 75 95 87 85 94 80 70 84 88 86 78 65 83 91 47 43 49 37 14 15 33 56 11 5 7 19 89 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 97 93 73 92 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,54,0.753036,59.8786,0.00595272,0 1 74 84 70 80 85 75 86 78 65 83 47 43 49 37 14 15 33 56 11 5 7 19 89 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 73 87 88 91 92 93 97 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,60,50,1,56,0.755246,59.662,7.39115,0 4 1 8 42 20 49 15 91 83 74 75 95 87 85 94 80 70 84 88 86 78 65 47 43 33 56 11 5 7 19 89 67 2 16 10 17 81 63 13 3 37 14 9 27 6 24 12 82 40 69 97 93 73 92 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,54,0.753079,69.5402,3.223e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 87 88 89 91 92 93 94 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,66.0964,3.99255,0 3 20 42 40 8 17 10 16 67 9 24 33 83 85 94 70 86 84 95 78 49 43 69 5 15 75 74 19 2 1 6 12 13 82 93 92 73 97 91 63 11 7 4 89 27 37 14 81 56 88 65 47 80 87 98 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,60.7555,1.25688,0 1 56 94 87 85 98 80 95 70 75 84 74 86 88 78 65 47 83 91 33 43 49 15 11 7 16 4 2 10 3 24 6 27 37 14 9 5 19 89 67 81 17 63 13 8 12 42 20 40 69 82 93 92 73 97 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,61.7845,0.00566862,0 1 74 75 95 87 85 94 80 70 84 88 86 78 65 83 91 47 43 49 37 14 15 33 56 11 5 7 19 89 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 97 93 73 92 98 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,67.28,0.00634673,0 1 74 75 85 80 70 84 78 83 47 65 43 49 37 14 15 33 56 11 5 7 19 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 73 86 87 88 89 91 92 93 94 95 97 98 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,70,50,1,57,0.756308,64.179,5.71616,0 6 5 8 20 69 42 24 4 43 78 86 67 11 49 84 88 75 80 94 85 70 95 74 15 9 1 2 16 7 10 89 19 56 47 91 14 37 27 93 73 92 97 82 3 17 13 40 63 12 81 33 83 65 87 98 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,75.2358,3.318e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 97 98 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,64.5595,4.86478,0 3 24 20 6 67 10 19 91 70 84 75 88 86 7 9 1 2 33 43 15 56 74 95 94 78 49 89 16 42 82 8 17 63 69 97 93 92 73 40 13 81 12 27 11 4 5 83 47 65 80 87 85 98 14 37 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,60.9821,2.009,0 1 86 88 74 84 87 85 98 94 80 70 95 75 78 83 91 43 5 7 4 16 2 10 3 24 6 27 9 37 14 15 49 65 47 33 56 11 19 89 67 81 17 13 8 12 42 82 20 69 93 92 73 97 40 63 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,61.7845,0.0144791,0 1 74 75 95 87 85 94 80 70 84 88 86 78 65 83 91 47 43 49 37 14 15 33 56 11 5 7 19 89 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 97 93 73 92 98 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,73.5544,0.00632761,0 1 17 13 3 8 12 6 4 2 10 16 7 5 9 14 15 11 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 97 98 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,80,50,1,57,0.756308,64.2905,4.78014,0 13 42 3 8 69 20 6 15 83 95 87 85 84 88 43 11 19 67 10 4 9 16 1 24 49 86 74 70 80 94 78 89 2 82 97 93 73 92 40 63 81 17 7 27 37 12 5 65 47 91 56 14 33 75 98 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,75.2358,7.372e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 97 98 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,66.0136,4.49844,0 24 67 3 20 8 17 43 9 5 33 95 85 88 84 49 1 7 15 74 75 94 80 70 2 16 10 12 40 63 42 82 69 92 93 97 73 6 13 4 27 37 81 14 83 47 56 11 65 86 78 19 89 91 87 98 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,61.192,3.43277,0 1 70 94 98 85 87 80 95 75 84 74 88 86 83 91 33 56 15 78 65 47 43 49 37 9 5 7 4 2 16 10 3 24 12 6 27 14 11 19 89 67 81 17 63 40 73 92 93 97 69 20 13 8 82 42 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,61.7845,0.0197343,0 1 74 75 95 87 85 94 80 70 84 88 86 78 65 83 91 47 43 49 37 14 15 33 56 11 5 7 19 89 67 81 17 10 16 2 4 9 27 6 24 12 82 20 42 8 3 13 63 40 69 97 93 73 92 98 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,73.5544,0.0062163,0 1 17 13 3 8 12 6 4 2 10 16 7 5 9 14 15 11 19 20 24 27 33 37 40 42 43 47 49 56 63 65 67 69 70 73 74 75 78 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 97 98 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW200219_094415_7dt_separate.csv,90,50,1,57,0.756308,64.5633,5.33416,0 69 13 20 5 11 33 88 7 9 8 67 10 42 24 2 43 15 74 95 94 70 80 84 78 56 49 16 1 3 17 89 4 81 27 6 82 97 73 93 92 40 63 12 19 37 14 91 47 83 65 86 75 98 85 87 100
