Method,Dataset,Budget,SlewRate,DwellTime,NumTiles,SumProb,TotalCost,TimeSec,Path
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,38,0.790966,39.0758,2.75627,0 1 35 6 13 36 20 15 30 28 21 37 2 5 9 24 14 3 11 12 4 25 32 7 8 10 23 17 19 27 31 18 16 26 22 29 42 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,38,0.795075,39.3192,0.00425193,0 1 34 36 20 15 30 13 28 21 6 35 2 5 9 24 14 3 11 12 25 4 7 32 8 10 23 17 19 27 31 18 16 26 22 29 33 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,38,0.795075,39.3192,0.00540322,0 1 34 36 20 15 30 13 28 21 6 35 2 5 9 24 14 3 11 12 25 4 7 32 8 10 23 17 19 27 31 18 16 26 22 29 33 100
Hoogeveen+Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,38,0.795075,39.6725,4.2114,0 1 14 24 9 5 2 35 6 13 15 20 34 36 30 28 21 3 11 12 17 23 10 8 7 4 25 32 19 27 31 18 16 26 22 29 33 100
Gurobi,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,40,50,1,39,0.799129,39.9942,29.2881,0 1 5 2 35 6 13 15 20 36 43 30 28 21 37 9 24 14 3 11 12 4 25 32 7 8 10 23 17 19 27 31 18 16 26 22 29 33 100
Greedy,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,36,0.780737,49.599,3.818e-06,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 100
Genetic,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,46,0.836567,49.4482,4.01597,0 4 7 23 27 16 38 41 33 29 42 22 26 39 18 31 19 17 10 44 11 1 24 9 37 15 20 30 13 34 40 36 43 6 28 21 35 2 5 3 14 12 25 32 8 100
AntColony,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.839598,48.9335,1.9033,0 1 5 2 35 6 13 43 36 34 48 20 15 30 28 21 37 9 24 14 3 11 12 25 4 7 32 44 8 10 45 23 17 19 27 31 18 16 39 26 22 29 42 33 41 38 100
Hoogeveen,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.84086,49.8797,0.00555207,0 1 40 34 36 20 43 30 15 13 28 21 6 35 2 37 5 9 24 14 3 11 12 25 4 7 32 44 8 10 23 17 19 27 31 18 16 26 39 22 42 29 33 41 38 45 100
HoogeveenParallel,/home/research/w.yanwang/Telescope-Searching-Problem/data_RTSS_0518/small/filtered_GW191216_213338_7dt_separate.csv,50,50,1,47,0.84086,49.3965,0.00645685,0 1 40 34 36 20 43 30 15 13 28 21 6 35 2 37 5 9 24 14 3 11 12 25 4 7 32 44 8 45 10 23 17 19 27 31 18 16 26 39 22 42 29 33 41 38 100
