Budget,GCP,Genetic
10,0.06643977499999999,5.399237083333333
100,0.11105138333333332,6.584264999999999
200,0.2008955,10.667575833333332
300,0.40563550000000004,14.1483525
400,0.6009364166666666,10.374920833333332
500,1.0174867916666666,15.227932916666667
600,1.4771029583333333,19.04265416666667
700,1.8040325,16.253895833333335
800,2.3235308333333333,20.074058333333333
900,2.78359125,23.516066666666664
1000,3.371585833333333,26.393808333333336
1100,3.9450904166666665,25.844583333333333
1200,4.577601666666667,29.881375000000002
